name,lat,lng,type
KPE,1.335000,103.888750,expressway
KPE,1.336667,103.890000,expressway
KPE,1.338333,103.891250,expressway
KPE,1.340000,103.892500,expressway
KPE,1.341667,103.893750,expressway
KPE,1.343333,103.895000,expressway
KPE,1.345000,103.896250,expressway
KPE,1.346667,103.897500,expressway
KPE,1.348333,103.898750,expressway
KPE,1.350000,103.900000,expressway
ECP,1.290000,103.870000,expressway
ECP,1.290833,103.873333,expressway
ECP,1.291667,103.876667,expressway
ECP,1.292500,103.880000,expressway
ECP,1.293333,103.883333,expressway
ECP,1.294167,103.886667,expressway
ECP,1.295000,103.890000,expressway
ECP,1.295833,103.893333,expressway
ECP,1.296667,103.896667,expressway
ECP,1.297500,103.900000,expressway
ECP,1.298333,103.903333,expressway
ECP,1.299167,103.906667,expressway
ECP,1.300000,103.910000,expressway
ECP,1.300833,103.913333,expressway
ECP,1.301667,103.916667,expressway
ECP,1.302500,103.920000,expressway
ECP,1.303333,103.923333,expressway
ECP,1.304167,103.926667,expressway
ECP,1.305000,103.930000,expressway
ECP,1.305833,103.933333,expressway
ECP,1.306667,103.936667,expressway
ECP,1.307500,103.940000,expressway
ECP,1.308333,103.943333,expressway
ECP,1.309167,103.946667,expressway
ECP,1.310000,103.950000,expressway
MCE,1.280000,103.850000,expressway
MCE,1.280714,103.851429,expressway
MCE,1.281429,103.852857,expressway
MCE,1.282143,103.854286,expressway
MCE,1.282857,103.855714,expressway
MCE,1.283571,103.857143,expressway
MCE,1.284286,103.858571,expressway
MCE,1.285000,103.860000,expressway
MCE,1.285714,103.861429,expressway
MCE,1.286429,103.862857,expressway
MCE,1.287143,103.864286,expressway
MCE,1.287857,103.865714,expressway
MCE,1.288571,103.867143,expressway
MCE,1.289286,103.868571,expressway
MCE,1.290000,103.870000,expressway
Bukit Timah Rd,1.320000,103.780000,primary
Bukit Timah Rd,1.321053,103.778947,primary
Bukit Timah Rd,1.322105,103.777895,primary
Bukit Timah Rd,1.323158,103.776842,primary
Bukit Timah Rd,1.324211,103.775789,primary
Bukit Timah Rd,1.325263,103.774737,primary
Bukit Timah Rd,1.326316,103.773684,primary
Bukit Timah Rd,1.327368,103.772632,primary
Bukit Timah Rd,1.328421,103.771579,primary
Bukit Timah Rd,1.329474,103.770526,primary
Bukit Timah Rd,1.330526,103.769474,primary
Bukit Timah Rd,1.331579,103.768421,primary
Bukit Timah Rd,1.332632,103.767368,primary
Bukit Timah Rd,1.333684,103.766316,primary
Bukit Timah Rd,1.334737,103.765263,primary
Bukit Timah Rd,1.335789,103.764211,primary
Bukit Timah Rd,1.336842,103.763158,primary
Bukit Timah Rd,1.337895,103.762105,primary
Bukit Timah Rd,1.338947,103.761053,primary
Bukit Timah Rd,1.340000,103.760000,primary
Upper Serangoon Rd,1.350000,103.870000,primary
Upper Serangoon Rd,1.351176,103.871765,primary
Upper Serangoon Rd,1.352353,103.873529,primary
Upper Serangoon Rd,1.353529,103.875294,primary
Upper Serangoon Rd,1.354706,103.877059,primary
Upper Serangoon Rd,1.355882,103.878824,primary
Upper Serangoon Rd,1.357059,103.880588,primary
Upper Serangoon Rd,1.358235,103.882353,primary
Upper Serangoon Rd,1.359412,103.884118,primary
Upper Serangoon Rd,1.360588,103.885882,primary
Upper Serangoon Rd,1.361765,103.887647,primary
Upper Serangoon Rd,1.362941,103.889412,primary
Upper Serangoon Rd,1.364118,103.891176,primary
Upper Serangoon Rd,1.365294,103.892941,primary
Upper Serangoon Rd,1.366471,103.894706,primary
Upper Serangoon Rd,1.367647,103.896471,primary
Upper Serangoon Rd,1.368824,103.898235,primary
Upper Serangoon Rd,1.370000,103.900000,primary
Bedok North Ave 1 corridor,1.330000,103.920000,primary
Bedok North Ave 1 corridor,1.330714,103.921429,primary
Bedok North Ave 1 corridor,1.331429,103.922857,primary
Bedok North Ave 1 corridor,1.332143,103.924286,primary
Bedok North Ave 1 corridor,1.332857,103.925714,primary
Bedok North Ave 1 corridor,1.333571,103.927143,primary
Bedok North Ave 1 corridor,1.334286,103.928571,primary
Bedok North Ave 1 corridor,1.335000,103.930000,primary
Bedok North Ave 1 corridor,1.335714,103.931429,primary
Bedok North Ave 1 corridor,1.336429,103.932857,primary
Bedok North Ave 1 corridor,1.337143,103.934286,primary
Bedok North Ave 1 corridor,1.337857,103.935714,primary
Bedok North Ave 1 corridor,1.338571,103.937143,primary
Bedok North Ave 1 corridor,1.339286,103.938571,primary
Bedok North Ave 1 corridor,1.340000,103.940000,primary
